store	itemCode	description	dailyUsage	buildTo	stockOnHand	stockOnOrder	orderQty	unit	onHandSource	buildToSource
3806	37013	SAUCE PICO DE GALLO 100GM	0.0557	0.5571	0.0002	0	1	CARTON-12x500GM	report	catalog-days
3806	37380	LID FCB DOME 590 ML CH	0.0057	0.0571	0.017	0	1	CARTON-1000	report	default
3806	37597	CHURROS MINI	0.52	5.2	0.4556	4	1	CARTON-72	report	catalog-days
3806	37870	SAUCE CHILLI MILD	0.2243	2.2429	1.55	0	1	CARTON-10x1KG	report	catalog-days
3806	37987	BAG TAKEAWAY BROWN SMALL	0.0743	0.7429	0.6	0	1	CARTON-1000	report	default
3806	37991	BAG TAKEAWAY BROWN LARGE 2	0.2614	2.6143	0.016	2	1	CARTON-250	report	default
3806	37993	BAG CHIPS REGULAR	0.0671	0.6714	0.0057	0	1	CARTON-3000	report	default
3806	37995	BAG CHIPS LARGE	0.0471	0.4714	0.0833	0	1	CARTON-3000	report	default
3806	38088	DESSERT CHOCETTES	0.0943	0.9429	0.6	0	1	CARTON-2x2.5KG	report	catalog-days
3806	39185	STRAW PAPER KFC	0.0514	0.5143	0.0018	0	1	CARTON-4000	report	default
3806	39744	DIPPING CUP 60ML	0.2129	2.1286	1.15	0	1	CARTON-1000	report	default
3806	39746	LID CLEAR 60ML DIPPING CUP	0.2129	2.1286	1.55	0	1	CARTON-1000	report	default
3806	39769	WOODEN FORK	0.0443	0.4429	0.012	0	1	CARTON-1000	report	default
3806	40062A	CINNAMON TWISTS	0.0329	0.3286	0.15	0	1	CARTON-4X5KG	report	catalog-days
3806	DO4	ONION BROWN DICED	0.3614	2.53	2	0	1	CARTON-4x1KG	report	catalog-days
3806	10004425	DRINK SOLO CAN	0.1414	1.8386	2.2667	0	0	CARTON-30	report	catalog-days
3806	10005385	DRINK MOUNTAIN DEW BIB 15L	0.0571	4	30	0	0	CARTON-15L	report	catalog-fixed
3806	10005562	DRINK FCB FREEZE MOUNTAIN DEW 10L	0.0171	1	15	0	0	CARTON-10L	report	catalog-fixed
3806	10006909	DRINK RED BULL ED 250ML	0.0471	0.6129	1.2917	0	0	CARTON-24	report	catalog-days
3806	10006936	DRINK RED BULL S/FREE 250ML	0.0229	0.2971	1.9167	0	0	CARTON-24	report	catalog-days
3806	10006942	DRINK RED BULL TROPICAL 250ML	0.07	0.91	2.1667	0	0	CARTON-12	report	catalog-days
3806	10007182	DRINK JUICE POP TOP APPLE 250ML	0.0457	0.5943	1.0417	0	0	CARTON-24	report	catalog-days
3806	10007184	DRINK JUICE POP TOP ORANGE 250ML	0.0114	0.1486	1.9167	0	0	CARTON-24	report	catalog-days
3806	10007576	DRINK 7UP CAN	0.0871	1.1329	2.6	0	0	CARTON-30	report	catalog-days
3806	10008418	DRINK JUICE APPLE SPRING VALLEY	0.0414	0.4143	1.9444	0	0	CARTON-18	report	default
3806	100457	SAUCE FIRE 10X1KG	0.0914	0.9143	1.05	1	0	CARTON-10x1KG	report	catalog-days
3806	106191	SAUCE CARAMEL MONIN 1.89L	0.0214	0.2143	2.27	0	0	CARTON-4x1.89L	report	catalog-days
3806	14701	GUACAMOLE	0.29	2.9	2.5422	2	0	CARTON-6x1.5KG	report	catalog-days
3806	2918	DRINK SOLO LEMON 600ML PET	0.0643	0.8357	1.3333	0	0	CARTON-24	report	catalog-days
3806	2938	DRINK SUNKIST ORANGE 600ML	0.0586	0.7614	2.125	0	0	CARTON-24	report	catalog-days
3806	3227	DRINK 7UP 600ML PET	0.0286	0.3714	1.125	0	0	CARTON-24	report	catalog-days
3806	33090	CUP POSTMIX REGULAR	0.1386	1.3857	1.4	0	0	CARTON-1000	report	default
3806	33091	CUP POSTMIX LARGE	0.0643	0.6429	0.725	0	0	CARTON-1000	report	default
3806	3478	DRINK PEPSI MAX BIB 10L	0.1929	6	35	0	0	CARTON-10L	report	catalog-fixed
3806	37378	CUP FCB 590 ML CH	0.0057	0.0571	0.5875	0	0	CARTON-1000	report	default
3806	37893	BAG CRUNCHWRAP	0.0657	0.6571	0.9125	0	0	CARTON-2000	report	default
3806	37901	WRAP LARGE WHITE PRINTED	0.1243	1.2429	1.3333	0	0	CARTON-3000	report	default
3806	37911	CHEESE CHEDD ANGEL HAIR/ S'FINE SHRED	0.25	2.5	1.8	1	0	CARTON-6x2KG	report	catalog-days
3806	37921	WRAP SMALL WHITE PRINTED	0.0729	0.7286	1.8333	0	0	CARTON-3000	report	default
3806	37997	BAG NACHO CHIPS LARGE	0.0871	0.8714	11.5	0	0	CARTON-500	report	default
3806	37999	WRAP WASTE WHITE UNPRINTED	0.1329	1.3286	1.4	0	0	CARTON-5x1000	report	default
3806	38163	SAUCE CHOCOLATE DA VINCI	0.07	0.7	1	0	0	CARTON-3x2L	report	catalog-days
3806	38414	SAUCE ZESTY RANCH 1	0.3771	3.7714	2.9667	1	0	CARTON-15x1KG	report	catalog-days
3806	38493	SAUCE CHIPOTLE MAYO 1	0.2971	2.9714	3.1333	0	0	CARTON-15x1KG	report	catalog-days
3806	38722	SAUCE CREAMY JALAPENO	0.1271	1.2714	1.65	0	0	CARTON-10x1KG	report	catalog-days
